phone	nom	cognom_1	cognom_2	date	email
674756182	Diana Carolina	Verdera	Zaidel	1974-06-21	D.Verdera@educacio.eu
670322646	Emma	Rodríguez	Viñals	1955-12-14	E.Rodríguez@govern.cat
691634478	Francisco Javier	Vila	Torner	1988-12-07	F.Vila@gencat.cat
617586432	Gabriel	Castells	Torner	1940-09-11	G.Castells@bcn.cat
608461207	Elena	Benito	Simó	1964-03-24	E.Benito@educacio.eu
696560511	Javier	Vilarrubí	Seix	1987-09-24	J.Vilarrubí@educacio.edu
639308293	Dídac	Vives	Segura	1940-06-12	D.Vives@educacio.edu
675556409	Eudosio	Ochoa	Sanz	1973-07-17	E.Ochoa@educacio.eu
650121146	Emmanuel	Serarols	Sans	1960-06-20	E.Serarols@gencat.cat
614710934	Encarnación	Ribas	Sans	1944-02-07	E.Ribas@educacio.eu
665718566	Isabel	Belzunce	Sánchez	2002-01-18	I.Belzunce@institut.edu
634739827	Ismael	Lizoain	Sánchez	1980-12-31	I.Lizoain@bcn.cat
698543466	Ivan	Martino	Sánchez	1952-01-18	I.Martino@educacio.eu
607527757	Iván	Gutiérrez	Sánchez	1959-12-15	I.Gutiérrez@govern.cat
674758125	Jaime	Ramírez	Sánchez	1977-01-06	J.Ramírez@bcn.cat
683166125	Jaume	Cuscó	Sánchez	1958-09-20	J.Cuscó@institut.edu
638362781	Elisa	Mestres	Salvador	1959-03-04	E.Mestres@educacio.com
674438816	Gerard	Viadé	Saez	2002-07-10	G.Viadé@bcn.cat
619170141	Glòria	Calvo	Saez	1946-10-19	G.Calvo@govern.cat
642974183	Francesc	Sais	Ruiz	1964-04-19	F.Sais@institut.edu
623847492	Francesc Xavier	Carrera	Ruiz	1986-06-06	F.Carrera@govern.cat
657435689	Elvira	Tavera	Roger	1940-02-24	E.Tavera@bcn.cat
695575524	Georgina	Ruiz	Rodríguez	1992-04-25	G.Ruiz@educacio.edu
659859119	Elsa	Oliva	Ribera	1992-01-29	E.Oliva@educacio.com
624304131	Adrià	Ventura	Ramos	1993-04-20	A.Ventura@gencat.cat
628776367	Gemma	Sirera	Puntí	1952-01-10	G.Sirera@educacio.eu
657349120	Carles	Gómez	Pérez	1947-11-25	C.Gómez@educacio.eu
638563114	Carolina	Francisco	Pérez	1952-09-27	C.Francisco@institut.edu
626586781	Eva	Millán	Pérez	1950-03-05	E.Millán@educacio.eu
668308755	Felipe	Casas	Pérez	2001-07-06	F.Casas@educacio.com
605588806	Félix	Baca	Pérez	1999-04-19	F.Baca@educacio.com
673113033	Ferran	Chueca	Pérez	1947-09-05	F.Chueca@educacio.com
642611264	Carlos	Trapero	Perelló	1956-05-05	C.Trapero@educacio.eu
665571281	Carlota	Mesa	Perelló	1981-12-27	C.Mesa@gencat.cat
646432721	Carme	Parera	Perelló	1989-06-12	C.Parera@institut.edu
640478434	Álvaro	Torelló	Navarro	2002-06-22	Á.Torelló@educacio.eu
682021961	Adrián	Sánchez	Morales	1958-03-28	A.Sánchez@educacio.eu
653764717	Ana	Deusedes	Molet	1963-11-14	A.Deusedes@bcn.cat
652218888	Ana Maria	Álvarez	Miranda	1992-11-07	A.Álvarez@govern.cat
652094213	Ana María	Lacasta	Miranda	1977-12-20	A.Lacasta@institut.edu
645234494	Elisenda	Lalueza	Méndez	1990-07-24	E.Lalueza@gencat.cat
685268765	Cristian	Ramos	Mateos	1940-10-11	C.Ramos@govern.cat
631229517	Christopher	Margarit	Masclans	1971-05-28	C.Margarit@educacio.edu
625941842	Ignasi	Escudé	March	1956-04-05	I.Escudé@institut.edu
603249956	Immaculada	Frontela	March	1959-04-20	I.Frontela@govern.cat
671802364	Hug	Puértolas	Lupiáñez	2000-12-12	H.Puértolas@institut.edu
698997922	Irene	Pequeño	Lucio	1975-07-22	I.Pequeño@educacio.edu
637348205	Daria del Carmen	Fortes	Lorente	1982-10-20	D.Fortes@bcn.cat
656691602	Gabriel José	Calvet	Juncosa	1943-12-11	G.Calvet@bcn.cat
