nom,cognom1,cognom2,dataNaixement,email
Marc,Rodríguez,Solé,1987-03-12,marc.rodriguez@edu.cat
Anna,Sánchez,Pérez,1992-06-25,anna.sanchez@gmail.com
Jordi,Garcia,Martínez,1984-10-07,jordi.garcia@edu.com
Laura,López,Ruiz,1999-01-18,laura.lopez@cat.cat
David,Martín,González,1990-04-04,david.martin@gmail.com
Marta,Ramírez,Santos,1988-05-15,marta.ramirez@edu.cat
Albert,Fernández,López,1991-07-22,albert.fernandez@gmail.com
Sara,González,Rodríguez,1986-09-30,sara.gonzalez@edu.com
Oriol,Pérez,Martí,2000-02-06,oriol.perez@cat.cat
Eva,Martínez,Garcia,1995-04-14,eva.martinez@gmail.com
Pau,Ruiz,Sánchez,1989-08-27,pau.ruiz@edu.cat
Clara,Garcia,Fernández,1993-11-11,clara.garcia@gmail.com
Xavier,Santos,Ramírez,1985-12-19,xavier.santos@edu.com
Mireia,Solé,Rodríguez,1997-03-03,mireia.sole@cat.cat
Alex,Pérez,López,1994-05-21,alex.perez@gmail.com
Laia,Martí,González,1998-06-09,laia.marti@edu.cat
Eric,Rodríguez,Fernández,1996-07-17,eric.rodriguez@gmail.com
Núria,González,Martínez,1987-10-26,nuria.gonzalez@edu.com
Joan,López,Ruiz,1992-01-04,joan.lopez@cat.cat
Maria,Martínez,Sánchez,1990-02-13,maria.martinez@gmail.com
Gerard,Sánchez,Pérez,1991-03-24,gerard.sanchez@edu.cat
Aina,Fernández,Garcia,1993-04-08,aina.fernandez@gmail.com
Pol,Garcia,Rodríguez,1999-05-16,pol.garcia@edu.com
Carla,Rodríguez,Martí,1994-06-28,carla.rodriguez@cat.cat
Arnau,Martí,López,1995-07-10,arnau.marti@gmail.com
Irene,López,Fernández,1988-08-23,irene.lopez@edu.cat
Roger,Fernández,González,1986-10-31,roger.fernandez@gmail.com
Alba,González,Ramírez,1997-12-05,alba.gonzalez@edu.com
Adrià,Ramírez,Solé,2000-01-18,adria.ramirez@cat.cat
Emma,Solé,Pérez,1996-02-29,emma.sole@gmail.com
Daniel,Pérez,Martínez,1992-03-07,daniel.perez@edu.cat
Júlia,Martínez,Garcia,1991-04-15,julia.martinez@gmail.com
Hugo,Garcia,Ruiz,1989-05-20,hugo.garcia@edu.com
Noa,Ruiz,Santos,1998-06-02,noa.ruiz@cat.cat
Leo,Santos,Fernández,1995-07-14,leo.santos@gmail.com
Ariadna,Fernández,Rodríguez,1993-08-25,ariadna.fernandez@edu.com
Marcos,Rodríguez,Martí,1987-09-09,marcos.rodriguez@gmail.com
Lara,Martí,López,1994-10-03,lara.marti@edu.com
Nil,López,González,1999-11-08,nil.lopez@cat.cat
Sofia,González,Ramírez,1996-12-22,sofia.gonzalez@gmail.com
Àlex,Ramírez,Solé,1990-01-06,alex.ramirez@edu.cat
Aitana,Solé,Pérez,1992-02-17,aitana.sole@gmail.com
Isaac,Pérez,Martínez,1991-03-27,isaac.perez@edu.com
Cristina,Martínez,Garcia,1988-04-05,cristina.martinez@cat.cat
Víctor,Garcia,Ruiz,1986-05-16,victor.garcia@gmail.com
Elena,Ruiz,Santos,1997-06-24,elena.ruiz@edu.cat
Ivan,Santos,Fernández,1995-07-04,ivan.santos@gmail.com
Aina,Fernández,Rodríguez,1993-08-13,aina.fernandez@edu.com
Oscar,Rodríguez,Martí,1989-09-21,oscar.rodriguez@gmail.com
Marta,Martí,López,1992-10-30,marta.marti@edu.com
Jordi,López,González,1990-11-08,jordi.lopez@cat.cat
Sandra,González,Ramírez,1991-12-19,sandra.gonzalez@gmail.com
Andreu,Ramírez,Solé,1999-01-27,andreu.ramirez@edu.cat
Nora,Solé,Pérez,1998-02-07,nora.sole@gmail.com
Albert,Pérez,Martínez,1996-03-15,albert.perez@edu.com
Berta,Martínez,Garcia,1994-04-23,berta.martinez@cat.cat
Pere,Garcia,Ruiz,1993-05-02,pere.garcia@gmail.com
Mireia,Ruiz,Santos,1992-06-10,mireia.ruiz@edu.cat
Arnau,Santos,Fernández,1991-07-18,arnau.santos@gmail.com
Laia,Fernández,Rodríguez,1990-08-26,laia.fernandez@edu.com
Eric,Rodríguez,Martí,1989-09-03,eric.rodriguez@gmail.com
Clàudia,Martí,López,1988-10-11,claudia.marti@edu.com
Guillem,López,González,1987-11-20,guillem.lopez@cat.cat
Núria,González,Ramírez,1986-12-28,nuria.gonzalez@gmail.com
Adrià,Ramírez,Solé,1995-01-07,adria.ramirez@edu.cat
Sara,Solé,Pérez,1994-02-14,sara.sole@gmail.com
David,Pérez,Martínez,1993-03-23,david.perez@edu.com
Anna,Martínez,Garcia,1992-04-01,anna.martinez@cat.cat
Marc,Garcia,Ruiz,1991-05-09,marc.garcia@gmail.com
Laura,Ruiz,Santos,1990-06-17,laura.ruiz@edu.cat
Xavier,Santos,Fernández,1989-07-25,xavier.santos@gmail.com
Carla,Fernández,Rodríguez,1988-08-02,carla.fernandez@edu.com
Oriol,Rodríguez,Martí,1987-09-10,oriol.rodriguez@gmail.com
Eva,Martí,López,1986-10-19,eva.marti@edu.com
Pau,López,González,1985-11-27,pau.lopez@cat.cat
Clara,González,Ramírez,1984-12-05,clara.gonzalez@gmail.com
Gerard,Ramírez,Solé,1999-01-13,gerard.ramirez@edu.cat
Aina,Solé,Pérez,1998-02-21,aina.sole@gmail.com
Pol,Pérez,Martínez,1997-03-01,pol.perez@edu.com
Alba,Martínez,Garcia,1996-04-10,alba.martinez@cat.cat
Daniel,Garcia,Ruiz,1995-05-18,daniel.garcia@gmail.com
